,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
300,within an hour,1.0,1.0,0.0,25.0,25.0,1.0,1.0,West,40.74168,-74.19524,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,65.0,1,180,1,1,180,180,1.0,180.0,1,25,55,85,360,29,23,3,4.9,4.79,4.83,4.93,4.83,4.59,4.83,1,12,0,10,2,1.05
301,within an hour,1.0,1.0,0.0,25.0,25.0,1.0,1.0,West,40.74185,-74.19382,Private room in home,Private room,1,1.5 shared baths,1.0,1.0,65.0,1,180,1,1,180,180,1.0,180.0,1,29,59,89,364,43,15,3,4.81,4.84,4.77,4.91,4.88,4.56,4.77,1,12,0,10,2,1.55
302,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,0.0,East,40.73181,-74.14539,Private room in condo,Private room,2,1 shared bath,1.0,1.0,51.0,2,90,2,2,90,90,2.0,90.0,1,0,11,41,170,6,1,0,5.0,5.0,4.83,5.0,5.0,5.0,4.83,0,2,0,2,0,0.22
303,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,0.0,East,40.73142,-74.14365,Private room in condo,Private room,2,1 shared bath,1.0,1.0,50.0,5,180,5,5,180,180,5.0,180.0,1,0,0,14,104,16,1,0,4.94,4.81,4.88,4.94,4.75,4.88,4.81,0,2,0,2,0,0.58
304,within an hour,1.0,1.0,1.0,8.0,8.0,1.0,1.0,Central,40.72957,-74.19859,Entire rental unit,Entire home/apt,8,1 bath,3.0,5.0,187.0,2,1125,2,2,1125,1125,2.0,1125.0,1,10,28,49,138,119,43,4,4.8,4.86,4.72,4.94,4.92,4.46,4.73,1,11,11,0,0,5.49
305,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68732,-74.19851,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,74.0,1,1125,1,1,1125,1125,1.0,1125.0,1,28,58,88,94,58,35,1,4.5,4.62,4.72,4.5,4.47,4.4,4.48,0,10,2,8,0,2.09
306,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68706,-74.19818,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,66.0,1,1125,1,1,1125,1125,1.0,1125.0,1,28,58,88,94,91,51,4,4.56,4.7,4.65,4.6,4.68,4.43,4.62,0,10,2,8,0,3.28
307,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68868,-74.20046,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,115.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,1,1,13,5,0,4.0,4.69,4.46,4.69,4.62,4.0,4.08,0,10,2,8,0,0.54
308,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74517,-74.21911,Entire rental unit,Entire home/apt,8,2 baths,4.0,4.0,109.0,7,25,7,7,25,25,7.0,25.0,1,5,22,52,312,0,0,0,,,,,,,,1,57,40,17,0,
309,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68708,-74.20028,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,52.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,0,45,16,0,4.56,4.71,4.69,4.73,4.69,4.47,4.62,0,10,2,8,0,1.69
310,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.6878,-74.19833,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,59.0,1,1125,1,1,1125,1125,1.0,1125.0,1,27,57,70,70,31,19,1,4.77,4.81,4.84,4.77,4.71,4.65,4.71,0,10,2,8,0,1.17
311,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68889,-74.1983,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,68.0,1,1125,1,1,1125,1125,1.0,1125.0,1,18,48,64,64,6,1,1,4.67,4.83,4.5,4.5,5.0,5.0,4.67,0,10,2,8,0,0.22
312,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68741,-74.19958,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,56.0,1,1125,1,1,1125,1125,1.0,1125.0,1,11,30,57,329,46,44,4,4.87,4.91,4.96,4.91,4.87,4.78,4.85,0,6,1,5,0,1.91
313,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68891,-74.19892,Private room in rental unit,Private room,2,1 shared bath,1.0,,56.0,1,1125,1,1,1125,1125,1.0,1125.0,1,7,27,53,325,50,44,6,4.8,4.94,4.94,4.84,4.8,4.56,4.76,0,6,1,5,0,2.08
314,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68874,-74.19903,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,65.0,1,1125,1,1,1125,1125,1.0,1125.0,1,9,29,57,331,178,170,16,4.93,4.94,4.98,4.9,4.91,4.65,4.88,0,6,1,5,0,6.5
315,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68937,-74.19959,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,56.0,1,1125,1,1,1125,1125,1.0,1125.0,1,17,37,67,342,142,115,9,4.89,4.95,4.97,4.94,4.92,4.64,4.85,0,6,1,5,0,5.33
316,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68911,-74.19887,Private room in rental unit,Private room,4,1 private bath,1.0,2.0,70.0,1,1125,1,1,1125,1125,1.0,1125.0,1,9,27,47,321,110,104,13,4.91,4.95,4.97,4.93,4.95,4.59,4.92,0,6,1,5,0,4.67
317,within an hour,1.0,0.99,1.0,6.0,6.0,1.0,1.0,South,40.68911,-74.19859,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,161.0,1,1125,1,3,1125,1125,1.0,1125.0,1,7,26,52,324,22,12,4,4.82,4.91,5.0,4.91,4.95,4.82,4.73,0,6,1,5,0,0.9
318,within an hour,0.99,1.0,0.0,18.0,18.0,1.0,1.0,South,40.71143,-74.20993,Private room in home,Private room,2,1 bath,1.0,1.0,56.0,1,1125,1,1,1125,1125,1.0,1125.0,1,21,38,68,74,29,20,2,4.66,4.69,4.52,4.83,4.62,4.48,4.52,1,12,0,12,0,1.07
319,within an hour,1.0,0.88,0.0,3.0,3.0,1.0,1.0,North,40.77646,-74.16184,Private room in home,Private room,3,1 shared bath,1.0,3.0,38.0,1,11,1,1,1125,1125,1.0,1125.0,1,9,39,69,69,63,22,2,4.75,4.9,4.81,4.92,4.92,4.59,4.78,0,5,0,4,1,2.36
320,within an hour,1.0,0.88,0.0,3.0,3.0,1.0,1.0,North,40.77619,-74.16112,Private room in home,Private room,2,1 shared bath,1.0,1.0,35.0,1,11,1,1,1125,1125,1.0,1125.0,1,12,42,72,72,32,16,2,4.88,4.81,4.94,4.88,4.97,4.69,4.94,0,5,0,4,1,1.26
321,within a few hours,0.97,0.97,0.0,6.0,6.0,1.0,1.0,East,40.733395,-74.163422,Entire rental unit,Entire home/apt,8,1 bath,2.0,4.0,152.0,2,1125,1,2,1125,1125,1.8,1125.0,1,6,11,19,239,57,53,6,4.86,4.88,4.86,4.96,4.86,4.79,4.84,0,6,6,0,0,4.2
322,within an hour,1.0,0.8,0.0,0.0,0.0,1.0,1.0,Central,40.73578,-74.18769,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,137.0,1,365,1,1,365,365,1.0,365.0,1,17,29,43,315,3,3,2,4.67,4.67,4.67,4.33,5.0,5.0,4.67,1,1,1,0,0,1.07
323,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68711,-74.20049,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,49.0,1,1125,1,1,1125,1125,1.0,1125.0,1,29,59,89,95,46,28,0,4.39,4.59,4.57,4.8,4.57,4.48,4.37,0,10,2,8,0,1.8
324,within an hour,1.0,0.98,0.0,12.0,12.0,1.0,1.0,South,40.68709,-74.19863,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,45.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,0,25,1,0,4.16,4.44,4.16,4.28,3.72,4.36,4.36,0,10,2,8,0,0.98
325,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,0.0,East,40.72926,-74.15888,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,58.0,1,1125,1,1,1125,1125,1.0,1125.0,1,24,54,80,80,68,39,4,4.6,4.74,4.69,4.88,4.84,4.68,4.62,1,7,1,6,0,2.67
326,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74198,-74.22828,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,1055.0,7,25,7,7,25,25,7.0,25.0,1,29,59,89,364,16,8,0,4.38,4.56,4.0,5.0,5.0,3.56,4.25,1,57,40,17,0,0.66
327,,,,0.0,0.0,0.0,1.0,1.0,West,40.74331,-74.21876,Entire rental unit,Entire home/apt,4,2 baths,3.0,3.0,105.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,0,0,0.05
328,within a few hours,0.75,0.87,0.0,4.0,4.0,1.0,0.0,South,40.72563,-74.20637,Private room in home,Private room,2,1 shared bath,1.0,1.0,25.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,177,31,23,3,5.0,5.0,4.97,5.0,5.0,5.0,5.0,0,3,0,3,0,1.39
329,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.7397,-74.22798,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,85.0,7,25,7,7,25,25,7.0,25.0,1,5,35,65,331,6,4,0,4.5,4.5,4.17,5.0,4.83,4.5,4.17,1,57,40,17,0,0.44
330,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.74856,-74.18758,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,53.0,1,14,1,1,1125,1125,1.0,1125.0,1,29,59,89,364,52,17,1,4.44,4.5,4.42,4.56,4.6,4.33,4.58,1,20,0,20,0,2.15
331,within an hour,1.0,0.9,0.0,2.0,2.0,1.0,1.0,West,40.73844,-74.20538,Private room in townhouse,Private room,2,1 private bath,1.0,1.0,119.0,1,28,1,1,1125,1125,1.0,1125.0,1,30,60,90,270,14,13,1,4.36,4.29,4.36,4.29,4.36,3.79,4.21,0,3,0,3,0,1.1
332,,,1.0,0.0,1.0,1.0,1.0,0.0,South,40.71476,-74.21508,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,45.0,3,5,3,3,5,5,3.0,5.0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,
333,within an hour,1.0,0.96,0.0,5.0,5.0,1.0,1.0,South,40.71669,-74.20186,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,61.0,1,365,1,1,1125,1125,1.0,1125.0,1,30,60,90,365,14,4,0,3.86,3.86,4.0,4.21,4.21,3.86,3.86,1,5,0,5,0,0.62
334,within a few hours,0.88,0.75,0.0,1.0,1.0,1.0,1.0,South,40.70967,-74.20059,Entire home,Entire home/apt,4,1 bath,1.0,2.0,60.0,180,180,180,180,1125,1125,180.0,1125.0,1,30,60,90,365,0,0,0,,,,,,,,1,1,1,0,0,
335,within an hour,1.0,0.96,0.0,5.0,5.0,1.0,1.0,South,40.71518,-74.20255,Private room in rental unit,Private room,2,2 baths,4.0,,61.0,1,365,1,1,1125,1125,1.0,1125.0,1,13,43,73,348,27,8,0,4.07,4.41,4.33,4.41,4.44,4.19,4.41,0,5,0,5,0,1.15
336,within an hour,1.0,1.0,1.0,12.0,12.0,1.0,1.0,Central,40.73405,-74.17372,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,307.0,3,1125,3,3,1125,1125,3.0,1125.0,1,16,46,76,351,70,41,4,4.93,4.96,4.91,4.91,4.96,4.63,4.87,1,8,8,0,0,3.4
337,within an hour,1.0,0.99,0.0,7.0,7.0,1.0,1.0,East,40.73189,-74.14908,Shared room in rental unit,Shared room,1,1 shared bath,1.0,4.0,47.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,11,41,282,26,10,1,4.73,4.88,4.62,4.85,4.96,4.73,4.65,1,6,0,0,6,1.14
338,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75607,-74.18849,Private room in home,Private room,1,1.5 shared baths,1.0,1.0,35.0,30,30,30,30,30,30,30.0,30.0,1,29,59,89,364,8,3,0,4.88,5.0,4.88,5.0,4.88,4.63,4.75,0,50,0,50,0,0.38
339,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.7562,-74.18856,Private room in home,Private room,1,1 shared bath,1.0,1.0,33.0,10,300,10,10,300,300,10.0,300.0,1,2,13,43,318,7,5,0,4.86,4.86,4.57,4.86,4.86,4.71,4.86,0,50,0,50,0,0.47
340,within an hour,1.0,0.99,0.0,7.0,7.0,1.0,1.0,East,40.73255,-74.14764,Shared room in rental unit,Shared room,1,1 shared bath,1.0,4.0,39.0,1,1125,1,1,1125,1125,1.0,1125.0,1,27,57,87,328,23,14,5,4.48,4.7,4.61,4.83,4.83,4.57,4.52,1,6,0,0,6,1.11
341,within a few hours,1.0,0.75,0.0,1.0,1.0,1.0,1.0,North,40.76437,-74.17522,Private room in home,Private room,2,1.5 baths,1.0,1.0,45.0,30,1125,30,30,1125,1125,30.0,1125.0,1,5,18,48,48,4,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5,0,5,0,0.21
342,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74244,-74.17022,Entire rental unit,Entire home/apt,6,1 bath,,3.0,189.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,0,24,299,0,0,0,,,,,,,,0,19,19,0,0,
343,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74243,-74.17053,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,229.0,3,1125,3,3,1125,1125,3.0,1125.0,1,27,57,87,362,0,0,0,,,,,,,,0,19,19,0,0,
344,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74182,-74.17071,Entire rental unit,Entire home/apt,4,1 bath,,2.0,189.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,0,24,0,0,0,,,,,,,,0,19,19,0,0,
345,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74203,-74.16918,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,299.0,3,1125,3,3,1125,1125,3.0,1125.0,1,1,10,40,315,1,1,0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0,19,19,0,0,0.09
346,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74069,-74.17081,Entire rental unit,Entire home/apt,3,1 bath,1.0,3.0,229.0,3,1125,3,3,1125,1125,3.0,1125.0,1,24,50,80,355,1,1,0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0,19,19,0,0,0.15
347,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.74092,-74.17044,Entire rental unit,Entire home/apt,6,2 baths,2.0,3.0,329.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,0,192,1,1,0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,0,19,19,0,0,0.09
348,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75603,-74.18838,Private room in home,Private room,1,1 shared bath,1.0,1.0,30.0,15,30,15,15,30,30,15.0,30.0,1,9,39,69,344,9,6,0,5.0,5.0,4.67,5.0,5.0,4.89,5.0,0,50,0,50,0,0.45
349,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75624,-74.1885,Private room in home,Private room,1,1 shared bath,1.0,1.0,35.0,30,1125,30,30,1125,1125,30.0,1125.0,1,4,17,47,322,2,1,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0,50,0,50,0,0.11
350,within an hour,1.0,0.86,1.0,0.0,0.0,1.0,1.0,North,40.77581,-74.16601,Private room in home,Private room,2,1 shared bath,1.0,1.0,82.0,2,365,2,2,365,365,2.0,365.0,1,26,56,86,176,17,9,3,4.94,4.88,4.82,4.94,5.0,4.88,5.0,1,2,0,2,0,0.94
351,,,0.0,0.0,0.0,0.0,1.0,1.0,East,40.72615,-74.15363,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,49.0,5,30,5,5,30,30,5.0,30.0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,
352,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,East,40.72192,-74.15197,Entire home,Entire home/apt,10,2 baths,3.0,3.0,211.0,1,1125,1,2,1125,1125,1.2,1125.0,1,2,4,22,285,14,5,2,4.86,4.64,4.86,4.93,4.86,4.86,4.93,1,6,6,0,0,0.68
353,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,East,40.72187,-74.15344,Entire home,Entire home/apt,10,2 baths,3.0,3.0,211.0,1,1125,1,2,1125,1125,1.2,1125.0,1,2,4,22,285,61,38,1,4.9,4.95,4.92,4.97,4.98,4.9,4.9,1,6,6,0,0,2.83
354,within an hour,1.0,0.9,0.0,2.0,2.0,1.0,1.0,West,40.73918,-74.20554,Private room in townhouse,Private room,2,1 shared bath,1.0,1.0,120.0,1,1125,1,1,1125,1125,1.0,1125.0,1,29,59,89,364,10,6,1,4.6,4.3,4.9,4.5,4.5,4.2,4.4,0,3,0,3,0,0.69
355,within a few hours,0.97,0.97,0.0,6.0,6.0,1.0,1.0,East,40.733395,-74.163422,Entire rental unit,Entire home/apt,7,1 bath,2.0,4.0,143.0,1,1125,1,1,1125,1125,1.0,1125.0,1,1,3,10,229,71,51,10,4.83,4.93,4.83,4.96,4.83,4.76,4.85,0,6,6,0,0,3.49
356,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74813,-74.18838,Private room in home,Private room,2,1 shared bath,1.0,1.0,54.0,1,90,1,1,90,90,1.0,90.0,1,0,24,54,144,86,35,0,4.72,4.77,4.4,4.81,4.9,4.65,4.72,1,23,1,19,3,4.12
357,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74825,-74.18707,Private room in home,Private room,2,1 shared bath,1.0,,55.0,1,90,1,1,90,90,1.0,90.0,1,21,50,80,170,85,65,4,4.46,4.64,4.21,4.75,4.72,4.4,4.52,1,23,1,19,3,4.24
358,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74784,-74.18836,Private room in home,Private room,1,1 shared bath,1.0,1.0,53.0,1,90,1,1,90,90,1.0,90.0,1,18,47,77,167,35,22,4,4.6,4.66,4.49,4.86,4.8,4.49,4.74,1,23,1,19,3,2.0
359,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74753,-74.18681,Private room in home,Private room,1,1 shared bath,1.0,1.0,54.0,1,90,1,1,90,90,1.0,90.0,1,10,39,69,159,53,44,3,4.83,4.91,4.74,4.89,4.92,4.81,4.87,1,23,1,19,3,2.57
360,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74809,-74.18855,Private room in home,Private room,1,1 shared bath,1.0,2.0,51.0,1,90,1,1,90,90,1.0,90.0,1,3,32,62,152,12,4,0,5.0,4.83,4.75,5.0,4.92,4.83,4.75,1,23,1,19,3,0.58
361,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73083,-74.16353,Entire home,Entire home/apt,12,2.5 baths,4.0,5.0,225.0,1,1125,1,4,1125,1125,1.1,1125.0,1,17,41,60,329,9,4,1,3.56,3.44,3.44,3.56,3.67,3.44,3.56,1,13,5,7,1,0.67
362,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74746,-74.18898,Private room in home,Private room,1,1 private bath,1.0,1.0,61.0,1,90,1,1,90,90,1.0,90.0,1,5,34,64,154,12,12,6,4.67,4.75,4.75,4.75,4.75,4.67,4.75,1,23,1,19,3,4.74
363,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74686,-74.18822,Private room in home,Private room,1,1 shared bath,1.0,1.0,62.0,1,90,1,1,90,90,1.0,90.0,1,26,55,85,175,3,3,1,5.0,4.67,4.67,4.67,4.67,4.67,5.0,1,23,1,19,3,0.48
364,within an hour,0.97,0.99,0.0,22.0,22.0,1.0,0.0,Central,40.74756,-74.18859,Private room in home,Private room,1,1 shared bath,1.0,1.0,54.0,1,90,1,1,90,90,1.0,90.0,1,23,52,82,172,57,46,5,4.56,4.7,4.42,4.75,4.93,4.56,4.6,1,23,1,19,3,2.74
365,within an hour,1.0,0.96,0.0,5.0,5.0,1.0,1.0,South,40.71682,-74.20395,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,74.0,1,1125,1,1,1125,1125,1.0,1125.0,1,29,59,89,364,22,15,2,4.41,4.64,4.36,4.77,4.64,4.36,4.5,1,5,0,5,0,1.07
366,within a few hours,1.0,0.63,0.0,0.0,0.0,1.0,0.0,North,40.78211,-74.15694,Camper/RV,Entire home/apt,5,1 bath,,5.0,67.0,1,30,1,1,30,30,1.0,30.0,1,17,47,77,167,11,8,2,4.36,4.55,4.73,4.82,4.64,3.91,4.18,0,1,1,0,0,0.54
367,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74666,-74.19621,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,45.0,7,25,7,7,25,25,7.0,25.0,1,30,60,90,365,6,3,0,3.67,4.0,3.5,4.33,4.33,3.5,3.5,1,57,40,17,0,0.32
368,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74661,-74.1979,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,1055.0,1,30,1,1,1125,1125,1.0,1125.0,1,8,38,68,343,10,8,0,4.8,4.8,4.7,4.9,5.0,4.1,4.9,1,57,40,17,0,0.69
369,within an hour,1.0,0.88,0.0,3.0,3.0,1.0,1.0,North,40.77607,-74.16156,Private room in home,Private room,3,1 shared bath,1.0,2.0,35.0,1,11,1,1,1125,1125,1.0,1125.0,1,17,47,77,77,7,7,2,4.71,5.0,4.71,4.86,5.0,4.57,4.86,0,5,0,4,1,0.68
370,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74011,-74.22633,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,641.0,7,25,7,7,1125,1125,7.0,1125.0,1,0,26,56,331,8,5,0,4.0,4.75,4.0,5.0,4.5,3.0,3.88,1,57,40,17,0,0.46
371,,,0.0,0.0,1.0,1.0,1.0,0.0,East,40.72791,-74.15722,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,108.0,2,10,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.05
372,within an hour,1.0,1.0,1.0,0.0,0.0,1.0,1.0,West,40.74684,-74.23606,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,312.0,3,14,3,3,1125,1125,3.0,1125.0,1,29,45,75,165,38,22,1,4.82,4.95,4.92,4.97,4.89,4.61,4.84,0,4,4,0,0,2.0
373,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75603,-74.18836,Private room in home,Private room,1,1 shared bath,1.0,1.0,35.0,30,30,30,30,30,30,30.0,30.0,1,30,60,90,365,6,3,0,5.0,5.0,5.0,5.0,5.0,4.83,5.0,0,50,0,50,0,0.33
374,within an hour,1.0,0.99,0.0,7.0,7.0,1.0,1.0,East,40.73232,-74.14923,Shared room in rental unit,Shared room,1,1 shared bath,1.0,4.0,39.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,235,10,6,0,4.7,4.7,4.7,4.7,4.8,4.8,4.6,1,6,0,0,6,0.52
375,within a day,1.0,0.74,0.0,1.0,1.0,1.0,1.0,Central,40.73386,-74.19923,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,38.0,1,6,1,1,6,6,1.0,6.0,1,18,48,78,78,9,6,5,4.44,4.56,4.0,5.0,5.0,4.33,4.33,0,1,0,1,0,0.45
376,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.74905,-74.18955,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,53.0,1,14,1,1,1125,1125,1.0,1125.0,1,22,52,82,357,51,47,0,4.47,4.53,4.51,4.86,4.67,4.33,4.49,1,20,0,20,0,2.79
377,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.7472,-74.1898,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,53.0,1,14,1,1,1125,1125,1.0,1125.0,1,20,50,80,355,25,16,0,4.0,4.32,3.96,4.28,4.28,3.88,4.04,1,20,0,20,0,1.28
378,,,0.25,0.0,0.0,0.0,1.0,1.0,South,40.72652,-74.20223,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,95.0,1,365,1,1,365,365,1.0,365.0,0,0,0,0,0,8,0,0,3.63,3.63,3.38,3.5,3.75,2.75,2.63,0,1,0,1,0,0.41
379,within an hour,0.99,0.99,0.0,19.0,19.0,1.0,1.0,Central,40.74755,-74.18984,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,100.0,2,28,2,2,1125,1125,2.0,1125.0,1,2,2,2,2,21,5,1,4.52,4.52,4.9,4.62,4.57,4.86,4.62,1,20,0,20,0,1.12
380,within an hour,1.0,0.96,0.0,5.0,5.0,1.0,1.0,South,40.71512,-74.20339,Private room in rental unit,Private room,2,1 shared bath,1.0,,63.0,1,15,1,1,1125,1125,1.0,1125.0,1,12,42,72,347,13,11,0,4.62,4.38,4.38,4.77,5.0,4.38,4.77,1,5,0,5,0,0.67
381,within a few hours,0.97,0.27,1.0,0.0,0.0,1.0,1.0,Central,40.75734,-74.18855,Private room in home,Private room,1,1 shared bath,1.0,1.0,35.0,30,1125,30,30,1125,1125,30.0,1125.0,1,30,60,90,365,4,4,0,4.75,5.0,5.0,5.0,4.75,4.5,4.75,0,50,0,50,0,0.41
382,within a few hours,0.9,0.76,0.0,32.0,32.0,1.0,1.0,Central,40.72839,-74.18164,Private room in home,Private room,1,1 shared bath,,1.0,90.0,1,180,1,1,180,180,1.0,180.0,1,10,40,70,345,14,1,0,4.29,4.43,4.29,4.29,4.43,4.5,4.36,0,30,0,28,2,0.72
383,within an hour,0.99,1.0,0.0,18.0,18.0,1.0,1.0,South,40.71119,-74.21137,Private room in home,Private room,2,1 shared bath,1.0,1.0,59.0,5,1125,5,5,1125,1125,5.0,1125.0,1,8,38,68,68,16,8,1,4.56,4.38,4.69,4.75,4.69,4.5,4.44,1,12,0,12,0,0.83
384,within an hour,1.0,0.48,0.0,0.0,0.0,1.0,0.0,Central,40.7424,-74.17083,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,229.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,22,297,0,0,0,,,,,,,,0,19,19,0,0,
