,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
172,within a few hours,0.9,0.76,0.0,32.0,32.0,1.0,1.0,Central,40.74702,-74.1893,Private room in home,Private room,2,1 shared bath,1.0,1.0,120.0,1,180,1,1,180,180,1.0,180.0,1,26,56,86,176,19,0,0,4.68,4.74,4.89,4.84,5.0,4.89,4.84,0,30,0,28,2,0.48
173,within a few hours,0.97,0.97,0.0,6.0,6.0,1.0,1.0,East,40.73257,-74.16254,Entire rental unit,Entire home/apt,2,1 bath,,1.0,78.0,2,1125,1,2,1125,1125,1.6,1125.0,1,13,24,36,298,69,22,7,4.64,4.74,4.77,4.8,4.81,4.67,4.65,0,6,6,0,0,1.69
174,within a few hours,0.97,0.97,0.0,6.0,6.0,1.0,1.0,East,40.733395,-74.163422,Entire rental unit,Entire home/apt,5,1 bath,,2.0,100.0,2,1125,1,2,1125,1125,1.5,1125.0,1,17,41,71,346,126,42,6,4.62,4.74,4.79,4.77,4.74,4.69,4.61,0,6,6,0,0,3.09
175,within a few hours,0.78,0.93,1.0,6.0,6.0,1.0,1.0,South,40.709,-74.2148,Private room in home,Private room,2,1 shared bath,1.0,1.0,61.0,1,28,1,1,28,28,1.0,28.0,1,23,53,83,358,94,24,2,4.8,4.84,4.86,4.89,4.93,4.64,4.77,0,6,2,4,0,2.28
176,within a day,0.8,0.42,0.0,1.0,1.0,1.0,0.0,Central,40.74069,-74.17136,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,122.0,28,1125,1,3,1125,1125,2.4,1125.0,1,24,54,84,264,8,5,1,4.38,4.88,4.5,5.0,4.75,4.75,4.5,0,1,1,0,0,0.2
177,within an hour,1.0,0.98,1.0,6.0,6.0,1.0,1.0,North,40.77249,-74.17808,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,38.0,5,60,5,5,1125,1125,5.0,1125.0,1,24,54,84,174,29,10,1,4.76,4.86,4.97,4.72,4.83,4.34,4.79,1,3,0,3,0,0.71
178,within an hour,1.0,1.0,1.0,13.0,13.0,1.0,1.0,Central,40.7337,-74.17348,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,177.0,2,365,2,2,1125,1125,2.0,1125.0,1,18,48,78,242,183,39,4,4.89,4.95,4.95,4.83,4.95,4.6,4.85,1,4,4,0,0,4.47
179,within an hour,1.0,0.98,1.0,6.0,6.0,1.0,1.0,North,40.77249,-74.17801,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,48.0,5,60,5,5,1125,1125,5.0,1125.0,1,0,21,46,136,28,4,1,4.79,4.96,4.93,4.89,4.89,4.43,4.75,1,3,0,3,0,0.69
180,within an hour,1.0,0.98,1.0,6.0,6.0,1.0,1.0,North,40.77274,-74.17942,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,38.0,5,89,5,5,1125,1125,5.0,1125.0,1,0,20,42,132,32,9,3,4.75,4.88,4.91,4.81,4.88,4.44,4.72,1,3,0,3,0,0.79
181,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,0.0,East,40.73237,-74.16385,Private room in guesthouse,Private room,3,1 shared bath,1.0,3.0,60.0,1,180,1,1,1125,1125,1.0,1125.0,1,27,57,80,168,72,28,3,4.75,4.85,4.83,4.9,4.81,4.61,4.6,1,7,1,6,0,1.85
182,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,0.0,East,40.73266,-74.16465,Private room in guesthouse,Private room,4,1 private bath,1.0,4.0,63.0,1,180,1,1,1125,1125,1.0,1125.0,1,18,38,65,238,74,30,1,4.68,4.82,4.76,4.96,4.92,4.81,4.73,1,7,1,6,0,1.87
183,within an hour,1.0,0.93,0.0,1.0,1.0,1.0,1.0,South,40.72005,-74.20771,Entire home,Entire home/apt,9,2 baths,4.0,8.0,191.0,3,1125,3,3,1125,1125,3.0,1125.0,1,3,11,18,278,26,24,3,4.5,4.54,4.46,4.77,4.77,4.35,4.46,0,2,2,0,0,1.98
184,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,0.0,East,40.73236,-74.16417,Private room in guesthouse,Private room,3,1 shared bath,1.0,3.0,63.0,1,180,1,1,1125,1125,1.0,1125.0,1,0,0,0,0,41,7,0,4.83,4.78,4.9,4.93,4.93,4.68,4.71,1,7,1,6,0,1.03
185,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,1.0,East,40.72467,-74.17025,Entire rental unit,Entire home/apt,4,1 bath,1.0,4.0,123.0,1,1125,1,1,1125,1125,1.0,1125.0,1,21,51,75,345,249,79,5,4.84,4.88,4.87,4.87,4.88,4.77,4.84,0,2,2,0,0,6.31
186,within a day,0.6,0.0,0.0,1.0,1.0,1.0,1.0,East,40.72867,-74.16614,Private room in rental unit,Private room,2,1 shared bath,1.0,3.0,55.0,2,30,2,2,30,30,2.0,30.0,1,26,56,86,176,5,0,0,5.0,4.75,5.0,5.0,4.75,5.0,5.0,0,1,0,1,0,0.13
187,within an hour,1.0,0.99,0.0,1.0,1.0,1.0,1.0,South,40.71475,-74.21332,Entire rental unit,Entire home/apt,5,1.5 baths,2.0,2.0,120.0,1,134,1,1,1125,1125,1.0,1125.0,1,1,1,1,239,2,1,1,4.5,5.0,5.0,4.5,5.0,5.0,5.0,1,2,2,0,0,0.09
188,within a few hours,0.9,0.76,0.0,32.0,32.0,1.0,1.0,Central,40.74742,-74.1876,Private room in home,Private room,2,1 shared bath,1.0,1.0,68.0,1,120,1,1,120,120,1.0,120.0,1,0,25,55,145,112,3,0,4.73,4.76,4.81,4.8,4.85,4.72,4.76,0,30,0,28,2,2.85
189,within a few hours,0.9,0.76,0.0,32.0,32.0,1.0,1.0,Central,40.74809,-74.18895,Private room in home,Private room,2,1 shared bath,1.0,1.0,58.0,1,180,1,1,180,180,1.0,180.0,1,26,56,86,176,97,7,2,4.78,4.82,4.78,4.89,4.9,4.65,4.74,0,30,0,28,2,2.47
